epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.06869,0.33299,2.11366,1.1639,0.84378,0.94225,0.95268,0.995,0.995,0.94225,0.95268,0.995,0.64595,0.24123,1.73404,1.4305,0.81404,0,0,0
2,4.1658,0.51681,2.19824,1.37628,0.91118,0.9316,0.95799,0.995,0.995,0.9316,0.95799,0.995,0.66771,0.23807,1.71087,1.40569,0.81236,1.41485e-05,1.41485e-05,1.41485e-05
3,6.14715,0.37279,1.70342,1.17956,0.8429,0.9185,0.96966,0.995,0.995,0.9185,0.96966,0.995,0.67545,0.22982,1.67957,1.36279,0.80843,2.80141e-05,2.80141e-05,2.80141e-05
4,8.0845,0.36846,1.86259,1.05833,0.85783,0.91143,0.97439,0.995,0.98876,0.91143,0.97439,0.995,0.70719,0.22537,1.64842,1.32132,0.80584,4.15968e-05,4.15968e-05,4.15968e-05
5,10.0543,0.46076,1.5196,1.19469,1.01456,0.91134,0.97914,0.995,0.98599,0.91134,0.97914,0.995,0.69515,0.22239,1.61331,1.27006,0.80348,5.48965e-05,5.48965e-05,5.48965e-05
6,12.0144,0.43247,1.82376,1.07145,1.00318,0.91212,0.98249,0.995,0.98507,0.91212,0.98249,0.995,0.6993,0.21891,1.58762,1.2172,0.80158,6.79132e-05,6.79132e-05,6.79132e-05
7,13.9267,0.39231,1.80849,1.04767,0.86491,0.91383,0.9834,0.995,0.98507,0.91383,0.9834,0.995,0.69899,0.21291,1.55868,1.17421,0.79905,8.0647e-05,8.0647e-05,8.0647e-05
8,15.8582,0.35088,1.91038,1.08135,0.92776,0.91516,0.98918,0.995,0.98507,0.91516,0.98918,0.995,0.69886,0.2089,1.53051,1.14397,0.79774,9.30979e-05,9.30979e-05,9.30979e-05
9,17.7595,0.33467,1.96317,1.06164,0.87686,0.91207,1,0.995,0.98507,0.91207,1,0.995,0.68725,0.21113,1.51757,1.11664,0.7976,0.000105266,0.000105266,0.000105266
10,19.6399,0.33514,1.51192,1.06345,0.89774,0.90888,1,0.995,0.98507,0.82303,0.91667,0.89189,0.66882,0.21806,1.51636,1.07666,0.79927,0.000117151,0.000117151,0.000117151
11,21.559,0.31403,1.70397,0.99293,0.85976,0.90527,1,0.995,0.98507,0.77266,0.86111,0.79268,0.63985,0.23836,1.52096,1.02635,0.80287,0.000128753,0.000128753,0.000128753
12,23.6088,0.42393,1.46505,1.0355,0.91247,0.90525,1,0.995,0.98507,0.85548,0.94444,0.89565,0.67283,0.26108,1.51563,0.98245,0.80573,0.000140072,0.000140072,0.000140072
13,25.515,0.4582,1.75266,1.09935,0.9072,0.91402,1,0.995,0.97056,0.86408,0.94444,0.89565,0.6712,0.27335,1.52029,0.94813,0.80788,0.000151108,0.000151108,0.000151108
14,27.4797,0.43123,2.30051,1.07143,0.93748,0.92045,1,0.995,0.9726,0.92045,1,0.995,0.7039,0.27889,1.543,0.91599,0.80931,0.000161861,0.000161861,0.000161861
15,29.8062,0.41539,1.69014,1.06343,0.97653,0.92869,1,0.995,0.97667,0.92869,1,0.995,0.6862,0.28796,1.57119,0.90205,0.81363,0.000172332,0.000172332,0.000172332
16,32.2076,0.40658,1.83466,0.96224,0.84552,0.92527,1,0.995,0.95952,0.92527,1,0.995,0.67996,0.28369,1.53714,0.88967,0.81518,0.000182519,0.000182519,0.000182519
17,34.5358,0.40913,1.82089,1.11294,0.84949,0.9226,1,0.995,0.97015,0.9226,1,0.995,0.68152,0.28023,1.52158,0.88107,0.81875,0.000192423,0.000192423,0.000192423
18,36.7684,0.40937,1.63342,1.07922,0.90174,0.9226,1,0.995,0.97015,0.9226,1,0.995,0.68152,0.28023,1.52158,0.88107,0.81875,0.000202045,0.000202045,0.000202045
19,39.1507,0.37809,1.70219,0.86691,0.84193,0.92482,1,0.995,0.97667,0.92482,1,0.995,0.71565,0.27488,1.47111,0.87823,0.82421,0.000211383,0.000211383,0.000211383
20,41.4073,0.39242,1.99516,0.97095,0.87803,0.92482,1,0.995,0.97667,0.92482,1,0.995,0.71565,0.27488,1.47111,0.87823,0.82421,0.000220439,0.000220439,0.000220439
21,43.8841,0.45578,1.84065,1.12619,0.90474,0.92071,1,0.995,0.96217,0.92071,1,0.995,0.72375,0.26759,1.40475,0.87241,0.82582,0.000229212,0.000229212,0.000229212
22,46.1502,0.39332,1.56776,0.94812,0.8567,0.92071,1,0.995,0.96217,0.92071,1,0.995,0.72375,0.26759,1.40475,0.87241,0.82582,0.000237701,0.000237701,0.000237701
23,48.7784,0.40052,1.47158,0.94913,0.86871,0.91884,1,0.995,0.96217,0.91884,1,0.995,0.75409,0.26398,1.33753,0.8549,0.8258,0.000245908,0.000245908,0.000245908
24,51.1102,0.48291,1.75179,1.04062,0.98471,0.91884,1,0.995,0.96217,0.91884,1,0.995,0.75409,0.26398,1.33753,0.8549,0.8258,0.000253832,0.000253832,0.000253832
25,53.5674,0.41493,1.77171,0.87922,0.8833,0.91621,0.99661,0.995,0.96354,0.91621,0.99661,0.995,0.76116,0.26048,1.22195,0.81881,0.82694,0.000261473,0.000261473,0.000261473
26,55.914,0.39623,1.47469,0.93341,0.84968,0.91621,0.99661,0.995,0.96354,0.91621,0.99661,0.995,0.76116,0.26048,1.22195,0.81881,0.82694,0.000268831,0.000268831,0.000268831
27,58.4581,0.37301,1.51689,0.90403,0.88334,0.89887,0.99456,0.995,0.96513,0.89887,0.99456,0.995,0.79424,0.24905,1.12007,0.78515,0.82362,0.000275906,0.000275906,0.000275906
28,60.8327,0.38071,1.59787,0.93289,0.96959,0.89887,0.99456,0.995,0.96513,0.89887,0.99456,0.995,0.79424,0.24905,1.12007,0.78515,0.82362,0.000282698,0.000282698,0.000282698
29,63.4912,0.36666,1.24921,0.8755,0.86411,0.90421,0.99299,0.995,0.95692,0.90421,0.99299,0.995,0.79291,0.25369,1.09228,0.75777,0.81894,0.000289207,0.000289207,0.000289207
30,65.9163,0.49023,1.1683,0.90292,1.03113,0.90421,0.99299,0.995,0.95692,0.90421,0.99299,0.995,0.79291,0.25369,1.09228,0.75777,0.81894,0.000295433,0.000295433,0.000295433
31,68.3826,0.412,1.18659,0.91399,0.87368,0.91438,0.99342,0.995,0.98214,0.91438,0.99342,0.995,0.80023,0.26614,1.07919,0.75113,0.81635,0.000301376,0.000301376,0.000301376
32,71.0582,0.33186,1.24929,0.83425,0.83777,0.91438,0.99342,0.995,0.98214,0.91438,0.99342,0.995,0.80023,0.26614,1.07919,0.75113,0.81635,0.000307036,0.000307036,0.000307036
33,73.522,0.34281,1.48029,0.84725,0.84075,0.94015,0.99375,0.995,0.98214,0.94015,0.99375,0.995,0.79962,0.27053,1.11808,0.77608,0.81364,0.000312414,0.000312414,0.000312414
34,76.1273,0.37318,1.29147,0.88388,0.88736,0.94015,0.99375,0.995,0.98214,0.94015,0.99375,0.995,0.79962,0.27053,1.11808,0.77608,0.81364,0.000317508,0.000317508,0.000317508
35,78.8021,0.47945,1.23072,0.87275,0.99477,0.95191,1,0.995,0.97278,0.95191,1,0.995,0.80627,0.26644,1.12315,0.81359,0.81113,0.00032232,0.00032232,0.00032232
36,81.4202,0.39708,1.33295,0.84336,0.83985,0.95191,1,0.995,0.97278,0.95191,1,0.995,0.80627,0.26644,1.12315,0.81359,0.81113,0.000326848,0.000326848,0.000326848
37,83.9436,0.46269,1.21487,0.95805,0.95359,0.93896,1,0.995,0.94706,0.93896,1,0.995,0.80838,0.26227,1.05088,0.86165,0.80781,0.000331094,0.000331094,0.000331094
38,86.5699,0.39464,1.31347,0.80036,0.80276,0.93896,1,0.995,0.94706,0.93896,1,0.995,0.80838,0.26227,1.05088,0.86165,0.80781,0.000335056,0.000335056,0.000335056
39,89.2619,0.43856,1.34949,0.87975,0.90068,0.89386,1,0.995,0.952,0.89386,1,0.995,0.81416,0.26534,0.98164,0.91324,0.80907,0.000338736,0.000338736,0.000338736
40,91.986,0.49486,1.47276,0.87949,0.91941,0.89386,1,0.995,0.952,0.89386,1,0.995,0.81416,0.26534,0.98164,0.91324,0.80907,0.000342133,0.000342133,0.000342133
41,94.7788,0.40043,1.17432,0.87951,0.8927,0.90765,1,0.995,0.93396,0.90765,1,0.995,0.80496,0.27715,0.95888,0.93422,0.81159,0.000345246,0.000345246,0.000345246
42,97.3787,0.39769,1.16834,0.8618,0.89783,0.90765,1,0.995,0.93396,0.90765,1,0.995,0.80496,0.27715,0.95888,0.93422,0.81159,0.000348077,0.000348077,0.000348077
43,100.435,0.48433,1.39238,0.88722,0.86977,0.92262,1,0.995,0.9665,0.92262,1,0.995,0.80394,0.28974,0.93212,0.9062,0.8133,0.000350625,0.000350625,0.000350625
44,103.329,0.50399,1.46431,0.90771,0.90038,0.92262,1,0.995,0.9665,0.92262,1,0.995,0.80394,0.28974,0.93212,0.9062,0.8133,0.00035289,0.00035289,0.00035289
