epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.988,0.63338,8.16378,3.06489,1.14861,0.00333,1,0.35155,0.29796,0.00079,0.23333,0.00395,0.00039,0.29658,5.21451,3.65676,1.01015,0,0,0
2,36.7131,0.51596,7.94632,3.05421,1.11126,0.00339,1,0.35071,0.29857,0.00027,0.08333,0.00159,0.00016,0.29294,5.21486,3.6593,1.01183,1.41485e-05,1.41485e-05,1.41485e-05
3,52.9878,0.45058,8.80461,2.9513,1.02636,0.00345,1,0.34386,0.30255,0,0,0,0,0.28624,5.21525,3.66112,1.00837,2.80141e-05,2.80141e-05,2.80141e-05
4,65.8878,0.53254,7.52664,3.25294,1.13463,0.00351,1,0.33519,0.30054,0,0,0,0,0.28031,5.21556,3.65555,1.00252,4.15968e-05,4.15968e-05,4.15968e-05
5,77.4914,0.63704,7.47234,3.12975,1.10208,0.00353,1,0.29549,0.25783,0,0,0,0,0.26962,5.21581,3.65332,0.99304,5.48965e-05,5.48965e-05,5.48965e-05
6,88.899,0.58768,6.89611,2.9594,1.05846,0.00351,1,0.287,0.26455,0,0,0,0,0.25994,5.21617,3.64865,1.00307,6.79132e-05,6.79132e-05,6.79132e-05
7,101.706,0.54451,6.19945,2.96659,1.11634,0.00348,1,0.32831,0.27313,0,0,0,0,0.26824,5.2163,3.65386,1.0092,8.0647e-05,8.0647e-05,8.0647e-05
8,113.887,0.54629,6.23866,3.01104,1.02162,0.00346,1,0.29196,0.25717,0,0,0,0,0.28177,5.21638,3.66704,1.03011,9.30979e-05,9.30979e-05,9.30979e-05
9,125.863,0.46008,5.67694,2.85753,1.04348,0.0035,1,0.3071,0.28208,0,0,0,0,0.29091,5.21631,3.67976,1.04291,0.000105266,0.000105266,0.000105266
10,138.934,0.50942,5.45904,2.92135,1.11536,0.00373,1,0.32535,0.30132,0,0,0,0,0.31041,5.21623,3.68433,1.04524,0.000117151,0.000117151,0.000117151
11,150.102,0.53341,5.23104,2.87059,1.12502,0.0038,1,0.36364,0.34879,0,0,0,0,0.30244,5.2155,3.68718,1.05346,0.000128753,0.000128753,0.000128753
12,161.532,0.3997,5.14261,2.96309,0.98717,0.00398,1,0.40659,0.38989,0,0,0,0,0.28942,5.21453,3.69183,1.04782,0.000140072,0.000140072,0.000140072
13,173.007,0.45217,5.18871,3.07039,1.0361,0.00412,1,0.46261,0.44333,0.00027,0.08333,0.00024,2e-05,0.28325,5.21337,3.68935,1.04837,0.000151108,0.000151108,0.000151108
14,186.127,0.30206,4.68925,2.78217,1.00081,0.0046,1,0.48566,0.44654,0.00101,0.23333,0.00116,0.00034,0.29043,5.21161,3.6789,1.04591,0.000161861,0.000161861,0.000161861
